Sampled,Tree1h0,Tree2h0,Tree3h0,Tree4h0,Tree5h0,Tree6h0,Tree7h0,Tree8h0,Tree12h0,Tree2h80,Tree3h80,Tree4h80,Tree6h80,Tree8h80,Tree12h80,Tree2h170,Tree3h170,Tree4h170,Tree6h170,Tree8h170,Tree12h170,Tree9h0,Tree10h0,Tree11h0,Tree9h80,Tree11h80,Tree9h170,Tree11h170
2017-07-05,,0,1.382,16.03,,0.662,,5.886,,0,0,6.13,0.251,0,,0,3.472,2.915,0.05,0.979,,,,,,,,
2017-07-18,,0,0,38.508,,0.004,,11.972,,0.01,0,11.169,0,2.399,,0,0,7.865,0,0.945,,,,,,,,
2017-07-20,0,0.037,0.054,23.783,4.39,11.373,4.277,10.955,0,0,0.213,9.49,0,1.994,0.33,0,0.211,8.768,1.995,1.036,0,4.996,9.394,1.282,0.041,0,0,0
2017-07-24,0,0.023,0.091,12.524,2.59,0,0.664,5.798,0,0,0.055,2.263,0,3.306,0.426,0,0,0.538,0,0.513,0,6.611,1.176,0,0,0,0.195,0
2017-07-26,0,0,0,9.76,0.542,0,1.21,0.011,0.546,0,0.055,0.389,0.209,0.055,0,0.14,0.011,0.388,0,0.507,0,5.353,0.615,1.162,0,0,0,0.122
2017-07-27,0.365,0,0,6.784,3.074,0,1.51,3.966,0.294,0,0.197,3.264,0,2.152,0,0,0.057,1.006,0.128,0.682,0,4.394,2.717,1.169,0,0,0,0
2017-07-31,0,0.12,0.226,6.195,3.195,0.084,0.404,2.73,0.029,0,0,0.049,0,0.17,0,0,0,0.112,0.044,0.071,0,3.659,2.95,1.346,0,0,0.214,0
2017-08-02,0.021,0.212,0.013,2.773,2.78,0,0.339,1.711,0,0,0,0.223,0,0.72,0,0,0.103,0.103,0,0.142,0,2.38,0.539,0.922,0,0,0,0.306
2017-08-03,0.194,0,0,3.962,3.439,0,0.097,2.978,0.152,0.085,0.073,0.096,0,1.531,0,0,0.174,0,0,0.129,0,4.142,2.5,0.721,0,0,0,0
2017-08-07,0,0,4.343,4.098,14.918,0.123,12.083,1.774,1.812,0.197,4.465,8.789,0.246,0.749,1.21,0,0.3,1.16,0.365,0.289,0.368,4.465,26.321,2.116,0.601,0.292,0.284,0.44
2017-08-09,1.233,0.208,1.157,10.757,5.608,7.415,25.815,6.882,0.129,0.343,3.464,5.675,3.08,2.519,0.391,0,0.98,5.238,0.457,0.479,0.034,2.809,7.145,1.5,0,0.261,0.343,0.135
2017-08-10,,,,,,9.332,72.559,11.61,0.118,,,,6.294,6.592,0,,,,4,1.171,0.297,4.265,6.523,1.975,0,0,0.253,0.159
2017-08-14,0,0.12,9.99,19.078,34.049,1.776,3.99,2.693,1.227,0.106,6.867,18.065,0.088,0.499,0.406,0,4.053,16.957,0,0.509,0,4.214,13.034,1.203,0.567,0.676,0,0
2017-08-16,0,0.049,3.465,11.916,7.074,2.301,2.912,7.391,0.514,0,2.559,7.558,0.251,0.89,1.158,0,2.675,4.977,0.365,0.242,0.179,3.197,4.497,1.114,0.353,0.496,0.896,0.668
2017-08-17,0,0,0,7.614,4.067,0.882,3.131,4.904,0.546,0,1.403,5.506,0.079,0.429,0.206,0.365,0.67,3.821,0.099,0.465,0.157,3.799,2.488,0.73,0.291,0,0,0
2017-08-21,0,0,11.861,1.391,12.416,2.258,2.015,6.283,2.963,0,4.261,0.03,0,0.615,0.691,0,0.211,0.069,0,0,0,12.132,39.577,3.645,0.269,0.311,0,0.196
2017-08-23,0,1.038,0,0.115,7.442,0,0,3.821,1.064,0,0.223,0.179,0,0.34,0,0,0.19,0.334,0.059,0,0.38,2.673,49.916,9.591,1.377,0.692,0.358,0.356
2017-08-24,0,0,0.108,0.187,0.948,0.139,0.096,3.066,2.02,0,2.385,0.041,0,0.228,0,0,0,0.339,0,0.077,0,36.511,105.069,49.126,2.462,2.531,0.37,0
2017-08-28,-0.767,0.229,-0.201,0.259,0.57,-0.074,-0.421,-0.212,-0.202,-0.14,0.183,0.344,-0.403,-0.272,0.323,-0.528,-0.338,0.049,-0.273,0.241,0.153,7.409,59.237,21.858,2.202,5.366,2.787,4.174
2017-08-31,0.053,-0.002,0.692,5.023,1.551,6.687,0.573,1.626,0.798,0.072,0.597,1.282,1.473,0.123,0.041,-0.272,0.181,-0.666,-0.033,-0.377,-0.373,4.221,40.278,12.363,0.719,1.262,1.267,1.083
